Similarity-based	similarity-based
Word	word
Sense	sense
	
Disambiguation	disambiguation
	
Yael	yael
Karov	karov
*	*
	
Weizmann	weizmann
Institute	institute
	
Shimon	shimon
Edelman	edelman
t	t
	
MIT	mit
	
We	we
describe	describe
a	a
method	method
for	for
automatic	automatic
word	word
sense	sense
disambiguation	disambiguation
using	using
a	a
text	text
corpus	corpus
and	and
a	a
machinereadable	machinereadable
	
dictionary	dictionary
(	(
MRD	mrd
)	)
The	the
method	method
is	is
based	based
on	on
word	word
similarity	similarity
and	and
context	context
similarity	similarity
	
measures	measures
Words	words
are	are
considered	considered
similar	similar
if	if
they	they
appear	appear
in	in
similar	similar
contexts	contexts
;	;
contexts	contexts
are	are
similar	similar
if	if
	
they	they
contain	contain
similar	similar
words	words
The	the
circularity	circularity
of	of
this	this
definition	definition
is	is
resolved	resolved
by	by
an	an
iterative	iterative
converging	converging
	
process	process
in	in
which	which
the	the
system	system
learns	learns
from	from
the	the
corpus	corpus
a	a
set	set
of	of
typical	typical
usages	usages
for	for
each	each
of	of
the	the
senses	senses
	
of	of
the	the
polysemous	polysemous
word	word
listed	listed
in	in
the	the
MRD	mrd
A	a
new	new
instance	instance
of	of
a	a
polysemous	polysemous
word	word
is	is
assigned	assigned
the	the
	
sense	sense
associated	associated
with	with
the	the
typical	typical
usage	usage
most	most
similar	similar
to	to
its	its
context	context
Experiments	experiments
show	show
that	that
this	this
	
method	method
can	can
learn	learn
even	even
from	from
very	very
sparse	sparse
training	training
data	data
achieving	achieving
over	over
92	92
%	%
correct	correct
disambiguation	disambiguation
	
performance	performance
	
1	1
Introduction	introduction
	
Word	word
sense	sense
disambiguation	disambiguation
(	(
WSD	wsd
)	)
is	is
the	the
problem	problem
of	of
assigning	assigning
a	a
sense	sense
to	to
an	an
ambiguous	ambiguous
	
word	word
using	using
its	its
context	context
We	we
assume	assume
that	that
different	different
senses	senses
of	of
a	a
word	word
correspond	correspond
to	to
	
different	different
entries	entries
in	in
its	its
dictionary	dictionary
definition	definition
For	for
example	example
suit	suit
has	has
two	two
senses	senses
listed	listed
in	in
	
a	a
dictionary	dictionary
:	:
'an	'an
action	action
in	in
court	court
'	'
and	and
'suit	'suit
of	of
clothes	clothes
'	'
Given	given
the	the
sentence	sentence
The	the
union's	union's
	
lawyers	lawyers
are	are
reviewing	reviewing
the	the
suit	suit
we	we
would	would
like	like
the	the
system	system
to	to
decide	decide
automatically	automatically
that	that
	
suit	suit
is	is
used	used
there	there
in	in
its	its
court-related	court-related
sense	sense
(	(
we	we
assume	assume
that	that
the	the
part	part
of	of
speech	speech
of	of
the	the
	
polysemous	polysemous
word	word
is	is
known	known
)	)
	
In	in
recent	recent
years	years
text	text
corpora	corpora
have	have
been	been
the	the
main	main
source	source
of	of
information	information
for	for
learning	learning
	
automatic	automatic
WSD	wsd
(	(
see	see
for	for
example	example
Gale	gale
